Sugar_type	Prototype	Dihedral	Function
C2'-endo	model2	eta	21.3246-17.6594*cos(1*x)-3.7083*sin(1*x)-3.2932*cos(2*x)-0.0907*sin(2*x)+2.3788*cos(3*x)+4.5643*sin(3*x)+2.2606*cos(4*x)-3.1801*sin(4*x)-7.5615*cos(5*x)-3.8669*sin(5*x)
C2'-endo	model3	eta	16.9871-21.0354*cos(1*x)-5.1829*sin(1*x)+10.9137*cos(2*x)+3.1636*sin(2*x)-7.1455*cos(3*x)-3.9961*sin(3*x)+1.3296*cos(4*x)+2.6334*sin(4*x)-0.2822*cos(5*x)-0.8237*sin(5*x)
C2'-endo	model4	eta	9.6956-7.4933*cos(1*x)+3.5503*sin(1*x)+0.4525*cos(2*x)+0.7258*sin(2*x)+0.1220*cos(3*x)-0.4042*sin(3*x)+0.3988*cos(4*x)+1.2356*sin(4*x)-0.8950*cos(5*x)-0.9846*sin(5*x)
C2'-endo	model5	eta	30.1978-28.9767*cos(1*x)+12.1220*sin(1*x)+6.8369*cos(2*x)-1.1757*sin(2*x)+4.8862*cos(3*x)-3.9914*sin(3*x)-1.4141*cos(4*x)+5.6497*sin(4*x)+0.6205*cos(5*x)+1.0545*sin(5*x)
C2'-endo	model6	eta	7.8379-8.3058*cos(1*x)+0.9412*sin(1*x)+1.2141*cos(2*x)-1.7939*sin(2*x)+2.0825*cos(3*x)+2.7110*sin(3*x)-0.2769*cos(4*x)-1.1436*sin(4*x)+0.9193*cos(5*x)-0.2795*sin(5*x)
C2'-endo	model7	eta	12.6724+5.4602*cos(1*x)+6.9288*sin(1*x)+0.3746*cos(2*x)-3.0433*sin(2*x)+1.2880*cos(3*x)+1.9213*sin(3*x)-0.2053*cos(4*x)+1.5980*sin(4*x)-1.0662*cos(5*x)-0.2579*sin(5*x)
C2'-endo	model8	eta	7.9910+5.4142*cos(1*x)+5.4336*sin(1*x)+0.0167*cos(2*x)+0.3484*sin(2*x)-0.2404*cos(3*x)+0.6883*sin(3*x)-0.3569*cos(4*x)-0.3287*sin(4*x)-0.4269*cos(5*x)+0.1865*sin(5*x)
C2'-endo	model9	eta	5.3330+3.7910*cos(1*x)+3.2849*sin(1*x)-0.2045*cos(2*x)+0.0350*sin(2*x)-0.0894*cos(3*x)-0.1971*sin(3*x)-0.0527*cos(4*x)-0.4094*sin(4*x)-0.1062*cos(5*x)+0.1692*sin(5*x)
C2'-endo	model10	eta	22.2364-26.1101*cos(1*x)+4.2491*sin(1*x)+11.4647*cos(2*x)-3.2691*sin(2*x)-5.0788*cos(3*x)+1.3478*sin(3*x)-2.3662*cos(4*x)+0.9964*sin(4*x)+1.6698*cos(5*x)-1.5627*sin(5*x)
C2'-endo	model11	eta	8.1084-1.2628*cos(1*x)-5.4589*sin(1*x)+2.4479*cos(2*x)+0.8710*sin(2*x)-0.2635*cos(3*x)+0.4496*sin(3*x)+0.8889*cos(4*x)+0.8256*sin(4*x)-0.5818*cos(5*x)+0.1960*sin(5*x)
C2'-endo	model12	eta	9.0261-4.8329*cos(1*x)+6.9292*sin(1*x)+0.0882*cos(2*x)-0.2829*sin(2*x)+0.1850*cos(3*x)+1.1873*sin(3*x)-0.5435*cos(4*x)+0.3763*sin(4*x)+0.0318*cos(5*x)+0.1485*sin(5*x)
C2'-endo	model13	eta	11.1939-13.8232*cos(1*x)-2.2370*sin(1*x)+5.7472*cos(2*x)+0.9739*sin(2*x)-4.4702*cos(3*x)+0.3536*sin(3*x)+3.0162*cos(4*x)+1.4360*sin(4*x)-2.5289*cos(5*x)-0.1945*sin(5*x)
C2'-endo	model14	eta	8.3210+5.7495*cos(1*x)+3.6910*sin(1*x)+0.2586*cos(2*x)-0.8875*sin(2*x)-0.0685*cos(3*x)+0.0810*sin(3*x)+0.1266*cos(4*x)-0.7280*sin(4*x)-0.1061*cos(5*x)+0.4195*sin(5*x)
C2'-endo	model15	eta	15.3907+7.5646*cos(1*x)+5.5954*sin(1*x)+0.3218*cos(2*x)-2.6215*sin(2*x)-0.0710*cos(3*x)+0.9239*sin(3*x)+1.2876*cos(4*x)-0.8088*sin(4*x)-2.0046*cos(5*x)-0.0608*sin(5*x)
C2'-endo	model16	eta	6.5148+5.1871*cos(1*x)+4.1069*sin(1*x)+0.4958*cos(2*x)+0.5748*sin(2*x)-0.0571*cos(3*x)+0.5370*sin(3*x)+0.1828*cos(4*x)-0.1787*sin(4*x)-0.0199*cos(5*x)+0.3194*sin(5*x)
C2'-endo	model2	theta	15.7586+3.9101*cos(1*x)-11.9152*sin(1*x)-0.2279*cos(2*x)+1.9649*sin(2*x)-0.4611*cos(3*x)-1.6004*sin(3*x)-1.7158*cos(4*x)+0.9801*sin(4*x)+1.6625*cos(5*x)+3.1204*sin(5*x)
C2'-endo	model3	theta	4.1414+2.3935*cos(1*x)+4.0843*sin(1*x)+0.2470*cos(2*x)+0.8019*sin(2*x)+0.1981*cos(3*x)+0.2206*sin(3*x)+0.2336*cos(4*x)+0.2985*sin(4*x)-0.2380*cos(5*x)+0.1223*sin(5*x)
C2'-endo	model4	theta	10.8464-9.6975*cos(1*x)-4.6306*sin(1*x)+5.6043*cos(2*x)+1.4094*sin(2*x)-2.3719*cos(3*x)-0.8804*sin(3*x)+2.5143*cos(4*x)+2.6081*sin(4*x)-1.5054*cos(5*x)-1.6818*sin(5*x)
C2'-endo	model5	theta	31.0765-20.2526*cos(1*x)-21.4245*sin(1*x)+5.1587*cos(2*x)+6.9843*sin(2*x)-0.8729*cos(3*x)+5.7830*sin(3*x)+4.8420*cos(4*x)-1.3407*sin(4*x)-1.7387*cos(5*x)-0.9095*sin(5*x)
C2'-endo	model6	theta	11.2926-7.3383*cos(1*x)+6.2038*sin(1*x)+5.0756*cos(2*x)+0.2401*sin(2*x)-3.4864*cos(3*x)+2.5423*sin(3*x)+3.1414*cos(4*x)-0.7831*sin(4*x)-1.6026*cos(5*x)+1.1891*sin(5*x)
C2'-endo	model7	theta	24.4285-14.7834*cos(1*x)-26.6862*sin(1*x)-2.1426*cos(2*x)+9.8891*sin(2*x)-1.5781*cos(3*x)+0.1528*sin(3*x)+3.8654*cos(4*x)+3.5272*sin(4*x)+0.7074*cos(5*x)-2.6091*sin(5*x)
C2'-endo	model8	theta	7.9447+2.7058*cos(1*x)-4.8340*sin(1*x)+0.6269*cos(2*x)+2.9185*sin(2*x)-0.3806*cos(3*x)-0.5697*sin(3*x)-0.2834*cos(4*x)+0.3185*sin(4*x)-0.3038*cos(5*x)-0.7660*sin(5*x)
C2'-endo	model9	theta	7.3769+1.7324*cos(1*x)-3.3999*sin(1*x)+0.1853*cos(2*x)+3.3015*sin(2*x)-0.7112*cos(3*x)-0.5675*sin(3*x)-0.0028*cos(4*x)+0.3873*sin(4*x)+0.0123*cos(5*x)-0.2802*sin(5*x)
C2'-endo	model10	theta	22.1551+1.4681*cos(1*x)-21.5169*sin(1*x)-10.4906*cos(2*x)+9.1756*sin(2*x)+3.6805*cos(3*x)+4.5770*sin(3*x)+1.8323*cos(4*x)-1.1026*sin(4*x)+0.9848*cos(5*x)+0.4835*sin(5*x)
C2'-endo	model11	theta	7.6437-3.1186*cos(1*x)+4.7634*sin(1*x)+2.1958*cos(2*x)+1.1262*sin(2*x)-0.1480*cos(3*x)+0.6499*sin(3*x)+0.7297*cos(4*x)+1.6054*sin(4*x)-0.2492*cos(5*x)-0.6414*sin(5*x)
C2'-endo	model12	theta	11.3152-10.1374*cos(1*x)+1.3813*sin(1*x)+5.1418*cos(2*x)+1.8888*sin(2*x)-2.0649*cos(3*x)+0.2622*sin(3*x)+2.6905*cos(4*x)+0.6456*sin(4*x)-1.7307*cos(5*x)-1.0403*sin(5*x)
C2'-endo	model13	theta	23.8510-14.7340*cos(1*x)-26.3875*sin(1*x)-2.8505*cos(2*x)+9.4197*sin(2*x)-0.2665*cos(3*x)-0.2856*sin(3*x)+2.4576*cos(4*x)+3.2125*sin(4*x)+0.9250*cos(5*x)-4.5117*sin(5*x)
C2'-endo	model14	theta	10.0673+8.8247*cos(1*x)-2.2024*sin(1*x)+1.2167*cos(2*x)+0.8537*sin(2*x)-0.5697*cos(3*x)-0.9050*sin(3*x)-0.3546*cos(4*x)+0.2298*sin(4*x)-0.4551*cos(5*x)-0.4562*sin(5*x)
C2'-endo	model15	theta	27.3079-9.6631*cos(1*x)-24.1650*sin(1*x)-1.7229*cos(2*x)+13.1397*sin(2*x)-0.4811*cos(3*x)-1.8513*sin(3*x)+1.8017*cos(4*x)+0.8218*sin(4*x)-0.9784*cos(5*x)-5.0713*sin(5*x)
C2'-endo	model16	theta	4.2641-0.0026*cos(1*x)+3.7803*sin(1*x)-1.0692*cos(2*x)+2.1202*sin(2*x)-0.3723*cos(3*x)-0.8218*sin(3*x)+0.2097*cos(4*x)+0.1938*sin(4*x)-0.0213*cos(5*x)-0.1687*sin(5*x)
